X,state_county,fips,state,ST,start.date,end.date,duration,count.max,sr,r0,r0.Pr,r0.ave3,r0.ave5,r0.est,r0.est.se,r0.est.ave3,r0.est.ave5,r0.u95,r0.u66,r0.l66,r0.l95,r1,r1.Pr,r1.est,r1.est.se,r1.u95,r1.u66,r1.l66,r1.l95,rmax,rmax.est,rmax.u95,rmax.u66,rmax.l66,rmax.l95,rmin,rmin.est,rmin.u95,rmin.u66,rmin.l66,rmin.l95,R0,l95,u95,l66,u66,fips,state_county5,Year.AHDP,County,Less_Than_High_School,At_Least_Bachelor_Degree.AHDP,Median_Earnings.AHDP,Education_Index,Income_Index,White.AHDP,African_American,Native_American,Asian_American,Other_race,Latino_Population,Children_in_Poverty,Adults_65_Poverty.AHDP,Population.Census2019,Below_federal_poverty_threshold.AHDP,Gini_Coefficient.AHDP,Child_Poverty,Professional_occupations,Service_occupations,Sales_office_occupations,Farming_occupations,Construction_occupations,Production_occupations,county5.x,countylast,state.x,county.x,Median_Earnings.y,Gini_Coefficient.MA,Below_federal_poverty_threshold.MA,Violent_Crime.MA,At_Least_Bachelor_Degree.MA,Population.MA,White.MA,Smoker,Obesity.MA,Diabetes,Elderly_Population.MA,lat,lon,area,ST,pTrump,thresh,state_county.w,pop,den,region
380,CA_San Bernardino,6071,California,CA,3/6/20,5/5/20,61,2.833213344,0.02,0.045042511,0.002507596,0.047289865,0.047937239,0.029089632,0.030986387,0.028975462,0.028221631,0.08947317,0.056126316,-0.001914459,-0.042416557,0.025294506,0.002478067,0.014617231,0.030986387,0.079771175,0.044471998,-0.017646025,-0.043939819,0.009078055,0.03278657,0.114574438,0.066611736,-0.005305216,-0.039481357,0.015181149,-0.00078771,0.059188825,0.030492767,-0.031925145,-0.071887466,1.238026083,0.719746542,1.873005814,0.985714781,1.497242828,6071,CA_San Bernardi,2010,"San Bernardino County, California",22.5,18.4,29232,3.82,4.85,33.3,8.4,0.4,6.1,2.6,49.2,23.2,9.5,2180085,14.8,0.42,20.5,27.9,17.8,27,0.4,11.3,15.7,San Bernardi,"an Bernardino County, California",CA,"San Bernardino County, CA",27801,0.4429,19.48134446,409.0712873,19,2094769,0.311690692,14.2462402,27.9,9.2,9.973796633,34.190248,-117.357474,20106.39,5,0.414750842,TRUE,CA_San Bernardino,2180085,41.8640497,West
10,CA_San Diego,6073,California,CA,3/6/20,5/5/20,61,2.995732274,0.02,0.048853646,0.002576125,0.048722507,0.049246757,0.03588348,0.035439558,0.034334975,0.033917212,0.10079756,0.071314303,-0.001495646,-0.035718523,-0.035919358,0.002606188,-0.022207696,0.035439558,0.04826554,0.010581901,-0.056343602,-0.106929528,0.042788594,0.036724712,0.103601973,0.074850329,-0.00442673,-0.041794332,-0.03536151,-0.022312123,0.045653182,0.010696639,-0.055294785,-0.108670136,1.299566676,0.75919156,2.01584183,0.988825878,1.660341471,6073,CA_San Diego Co,2010,"San Diego County, California",14.7,34.1,32342,5.18,5.55,48.5,4.7,0.5,10.6,3.7,32,16.2,7.8,3338330,12.3,0.45,16.1,39.5,18.1,25.3,0.4,8.3,8.3,San Diego Co,"an Diego County, California",CA,"San Diego County, CA",32270,0.4651,14.47173472,348.8049405,35.7,3223096,0.470142993,10.79844699,19.1,7.7,12.3382611,32.88326,-117.112994,4525.92,5,0.36571188,TRUE,CA_San Diego,3338330,284.7897176,West
6,CA_Santa Clara,6085,California,CA,3/1/20,5/5/20,66,2.302585093,0.02,0.037054624,0.002184396,0.032597607,0.029266601,0.022617752,0.034846369,0.021891278,0.02176445,0.087209005,0.055753382,-0.014170853,-0.058742825,-0.050960369,0.002582028,-0.040925034,0.034846369,0.049242315,-0.009184537,-0.071333478,-0.112899749,0.029491505,0.023531113,0.08581991,0.0608111,-0.016360181,-0.048224537,-0.050717062,-0.042597458,0.036450224,-0.008090898,-0.073490477,-0.11232927,1.181557215,0.630522141,1.845404233,0.898070667,1.493401083,6085,CA_Santa Clara ,2010,"Santa Clara County, California",13.7,45.3,42862,6.56,7.51,35.2,2.4,0.2,31.7,3.6,26.9,11.1,6.7,1927852,8.9,0.45,11,49.1,14,21.5,0.3,6.8,8.3,Santa Clara ,"anta Clara County, California",CA,"Santa Clara County, CA",45978,0.4662,9.548187942,253.8998814,47.9,1868149,0.335801909,8.447803097,19.5,8.4,11.92961589,37.315105,-121.910421,1304.53,5,0.205803819,TRUE,CA_Santa Clara,1927852,570.5865526,West
208,CO_Adams,8001,Colorado,CO,3/13/20,5/5/20,54,2.397895273,0.02,-0.011344246,0.002074352,-0.00503727,-0.00185103,-0.011025365,0.032892719,-0.010537566,-0.010821086,0.051725786,0.019879323,-0.046912939,-0.083754487,0.01843688,0.002317272,0.011599188,0.032892719,0.077626331,0.038193427,-0.017291799,-0.045820831,-0.011353874,0.014848824,0.077641591,0.046492051,-0.01613691,-0.048879815,-0.003309664,-0.014585994,0.034481154,0.013026371,-0.043125591,-0.078485734,0.91994449,0.511491062,1.452398275,0.69421081,1.158284345,8001,CO_Adams County,2010,"Adams County, Colorado",19,20.3,31118,3.59,5.29,53.2,2.8,0.6,3.5,2,38,21.8,8.8,517421,13.9,0.4,20.2,27.5,16.4,27.1,0.2,14.3,14.4,Adams County,"dams County, Colorado",CO,"Adams County, CO",31391,0.404,13.76524031,332.0496643,22.2,471206,0.520642776,17.10939917,26.3,7.2,9.253489981,39.874297,-104.927473,1197.83,6,0.413507862,TRUE,CO_Adams,517421,166.7826146,West
3001,CO_agg,NA,Colorado,CO,3/2/20,5/5/20,65,3.401197382,0.02,0.117130679,0.002088055,0.112280857,0.10758093,0.083400731,0.030418952,0.08123047,0.078961546,0.143973326,0.11403927,0.050555493,0.014205068,-0.046228323,0.002001326,-0.04951008,0.030418952,0.005135198,-0.02077331,-0.080728749,-0.119907941,0.117845597,0.083513135,0.144876599,0.113854611,0.051256213,0.015106576,-0.028538721,-0.059569861,0.020420872,-0.029329959,-0.093800646,-0.11949668,1.799685231,1.111213795,2.637840668,1.44065025,2.19325366,NA,NA,NA,NA,8.579423351,37.51020083,30503.5154,5.779693485,4.952141218,76.63574573,2.166245421,0.719034229,2.056190521,2.290370122,16.2013508,16.8487281,6.728577227,2879676,11.34911306,0.43352985,13.99702683,39.61277058,16.99246972,23.9798537,0.793785865,10.01321874,8.594654402,Choctaw Coun,"hoctaw County, Alabama",AL,"Choctaw County, AL",NA,0.441751572,12.72354798,NA,38.91328462,2665745,0.755226025,14.31815824,19.80290834,6.137473502,13.07083011,39.24990016,-105.4391165,97142.18,6,0.499876444,FALSE,CO_agg,2879676,11.44557707,West
116,CO_Arapahoe,8005,Colorado,CO,3/8/20,5/5/20,59,3.17805383,0.02,0.081608954,0.002457651,0.081514372,0.082465267,0.06278612,0.032175493,0.059792634,0.056881965,0.128715816,0.093542714,0.032550956,-0.011569983,-0.015388434,0.002366025,-0.005386306,0.032175493,0.057788912,0.026538375,-0.038304572,-0.076396753,0.082013692,0.063194301,0.12957532,0.094526382,0.029617932,-0.008087983,0.032386543,-0.025708247,0.037730687,0.003240521,-0.056188616,-0.091076054,1.56715162,0.916127001,2.403491658,1.26908661,1.923411566,8005,CO_Arapahoe Cou,2010,"Arapahoe County, Colorado",9.6,37.9,33477,5.51,5.79,63.2,9.7,0.4,5,3.2,18.4,20.1,9.7,656590,11.6,0.46,16.2,38.7,15.9,27.7,0.2,8.9,8.6,Arapahoe Cou,"rapahoe County, Colorado",CO,"Arapahoe County, CO",34837,0.4649,11.2250923,297.6789511,40.1,608310,0.622136739,14.85250381,21.4,6.3,11.40849238,39.647528,-104.845968,805.47,6,0.386254892,TRUE,CO_Arapahoe,656590,314.7362798,West
52,CO_Denver,8031,Colorado,CO,3/9/20,5/5/20,58,3.401197382,0.02,0.078641426,0.00238919,0.076836634,0.074022795,0.05258157,0.033979274,0.050114993,0.047966714,0.123313562,0.083379204,0.019938414,-0.029702861,-0.007982495,0.002320588,-0.010624548,0.033979274,0.054829444,0.019509932,-0.040903776,-0.084544299,0.079682542,0.052766426,0.123074336,0.085455982,0.018265661,-0.03183665,0.002295804,-0.020208096,0.052529709,0.014265107,-0.05720306,-0.109835727,1.461036262,0.79608955,2.324406523,1.15878269,1.799429298,8031,CO_Denver Count,2010,"Denver County, Colorado",16,40.1,30445,4.96,5.13,52.2,9.7,0.6,3.3,2.4,31.8,30.8,14.4,727211,19.2,0.51,28.6,40.4,17.8,24,0.2,8.6,9,Denver Count,"enver County, Colorado",CO,"Denver County, CO",35048,0.502,17.31747794,617.3312903,45,649654,0.530981107,17.13129761,16.4,6,10.69030592,39.72143,-104.955068,154.88,6,0.188909514,TRUE,CO_Denver,727211,1812.871462,West
41,CO_Jefferson,8059,Colorado,CO,3/7/20,5/5/20,60,2.397895273,0.02,0.030631559,0.002338481,0.034555066,0.035727811,0.018850509,0.033169516,0.0195988,0.019948292,0.074457321,0.054639675,-0.01378926,-0.058492921,0.016946528,0.002158688,0.008289385,0.033169516,0.074107093,0.038251374,-0.022585875,-0.042933454,0.009591398,0.027971889,0.0846082,0.062406506,-0.006988999,-0.039051756,0.054586673,-0.00530527,0.064192853,0.024046612,-0.040698159,-0.072734432,1.149635,0.63181648,1.695746336,0.900701859,1.481973996,8059,CO_Jefferson Co,2010,"Jefferson County, Colorado",7.1,39.3,36084,5.99,6.31,79.9,0.9,0.5,2.6,1.8,14.3,13.9,5.1,582881,8,0.43,11.3,42.7,13.8,26.1,0.1,9.1,8.3,Jefferson Co,"efferson County, Colorado",CO,"Jefferson County, CO",38391,0.4337,8.545059298,223.4280435,41.6,552344,0.788318512,13.76527541,18.3,5.4,14.11022841,39.720524,-105.128819,778.2,6,0.420141571,TRUE,CO_Jefferson,582881,289.1948703,West
266,CO_Weld,8123,Colorado,CO,3/8/20,5/5/20,59,2.48490665,0.02,0.058052954,0.002133909,0.052647276,0.050660302,0.02251476,0.033751599,0.020139465,0.018404661,0.089261232,0.052820115,-0.013168174,-0.056848311,-0.052530462,0.002531865,-0.041575379,0.033751599,0.037156699,-0.007616756,-0.074629613,-0.11732269,0.052937269,0.022630899,0.090069563,0.051606189,-0.012417404,-0.055902838,-0.047271377,-0.042573865,0.027502522,-0.008844658,-0.076729004,-0.11796339,1.180675296,0.640388612,1.870408791,0.904997628,1.463451176,8123,"CO_Weld County,",2010,"Weld County, Colorado",15.3,25.4,29207,4.66,4.85,67.6,0.8,0.6,1.1,1.6,28.4,19.5,9.9,324492,13.9,0.42,17.6,31.9,15.9,25.5,1.7,11.9,13.2,"Weld County,","eld County, Colorado",CO,"Weld County, CO",31768,0.4208,12.88671123,295.4880078,26.1,270948,0.669442107,15.822091,26,6.4,10.74486617,40.328082,-104.788507,4021.76,6,0.565990785,TRUE,CO_Weld,324492,31.15227418,West
3016,CT_agg,NA,Connecticut,CT,3/13/20,5/3/20,52,2.302585093,0.02,0.020575424,0.002187656,0.02750046,0.030589103,0.04020953,0.030666453,0.039761749,0.03939663,0.091244131,0.072454875,0.01306775,-0.032985966,-0.055656961,0.002153098,-0.029038987,0.030666453,0.030418178,0.001776024,-0.060674489,-0.095009114,NA,0.049546504,0.10950491,0.078521498,0.023398369,-0.011897465,-0.054020201,-0.031230034,0.038977699,0.001441361,-0.068341645,-0.088728219,1.339987183,0.775777077,1.894814955,1.101964026,1.673122863,NA,NA,NA,NA,10.67533058,30.32282977,34063.33039,5.546760928,5.903806798,82.41342842,3.904545865,0.517377899,3.226491376,2.398505537,7.561994497,11.66541689,5.774600951,532709,7.885244276,0.407269071,9.803749887,37.06991355,19.4117316,23.36385571,0.286597383,8.967048468,10.92250264,Colbert Coun,"olbert County, Alabama",AL,"Colbert County, AL",34288.05723,0.42244694,9.241195693,NA,31.80376721,542603,0.810218521,14.06433716,27.24888805,8.83477349,14.65104322,41.63333812,-72.15231204,1710.25,7,0.453680114,FALSE,CT_agg,532709,120.2630871,North
96,CT_Fairfield,9001,Connecticut,CT,3/3/20,5/5/20,64,4.356708827,0.020864522,0.16722972,0.002341108,0.164228674,0.161699767,0.128026645,0.033086774,0.124151667,0.118988071,0.189832139,0.162691334,0.095011539,0.053435982,-0.026457711,0.002407932,-0.02931018,0.033086774,0.035680836,-0.000383699,-0.059070339,-0.08518315,0.175312676,0.129739989,0.194419446,0.161446893,0.09437966,0.06187944,-0.021884631,-0.039888381,0.020273546,-0.007290938,-0.069772963,-0.103211851,2.393291092,1.46970029,3.445819956,1.941857645,2.94830705,9001,CT_Fairfield Co,2010,"Fairfield County, Connecticut",11.7,43.6,40470,6.77,7.11,66.2,10.1,0.1,4.6,2.1,16.9,10.6,6.4,943332,8,0.54,9.4,42.9,16,25.1,0.1,8.2,7.7,Fairfield Co,"airfield County, Connecticut",CT,"Fairfield County, CT",41063,0.5427,8.974411814,264.00956,45.8,939983,0.640767971,12.17432661,21.4,7.6,14.125681,41.207889,-73.364521,837.01,7,0.380041737,TRUE,CT_Fairfield,943332,435.146839,North
321,CT_Hartford,9003,Connecticut,CT,3/10/20,5/5/20,57,4.304065093,0.025820686,0.205776196,0.003122551,0.195338492,0.187192853,0.151617695,0.035186505,0.146289772,0.141710884,0.217908775,0.185061839,0.118723206,0.063888423,-0.001337838,0.003307205,-0.008641567,0.035186505,0.056720523,0.024836514,-0.041840712,-0.079774141,0.21083275,0.152173536,0.225346541,0.190551014,0.115815723,0.048206085,-0.005420876,-0.046013833,0.029636334,-0.010395088,-0.080281272,-0.118630125,2.761515861,1.578962956,4.02302712,2.258769421,3.354180275,9003,CT_Hartford Cou,2010,"Hartford County, Connecticut",12.9,33.3,36410,5.79,6.37,66.1,12.3,0.1,4.2,1.9,15.3,19,7.7,891720,10.7,0.46,15.3,39.6,16.8,25.9,0.2,6.6,10.9,Hartford Cou,"artford County, Connecticut",CT,"Hartford County, CT",39027,0.4721,11.94272772,293.1721185,36.3,896943,0.638836582,13.75824416,26.8,9.6,15.31502002,41.761943,-72.717282,750.61,7,0.364183118,TRUE,CT_Hartford,891720,458.6866224,North
209,CT_Litchfield,9005,Connecticut,CT,3/16/20,5/5/20,51,2.302585093,0.02,0.019836955,0.002124202,0.019458831,0.015054973,0.003720374,0.030100502,0.002930097,0.001733779,0.059973613,0.030997211,-0.027258248,-0.065196675,-0.052108748,0.002559186,-0.034480444,0.030100502,0.045891217,-0.000287301,-0.070974006,-0.101266618,0.019479313,0.004174177,0.058245342,0.029074378,-0.029676724,-0.061786371,-0.04888809,-0.037400351,0.038138991,-0.003466884,-0.071588084,-0.10944601,1.02823167,0.597837093,1.537325804,0.811490924,1.255069056,9005,CT_Litchfield C,2010,"Litchfield County, Connecticut",8.8,32.3,38080,6.01,6.68,91.3,1.2,0.1,1.5,1.4,4.5,8,4.6,180333,5.8,0.43,6.9,37.9,16.1,25.9,0.3,9.4,10.4,Litchfield C,"itchfield County, Connecticut",CT,"Litchfield County, CT",40219,0.4485,7.004248291,110.4571843,33.6,186304,0.90174124,12.5944229,23.9,6.7,17.72747767,41.727851,-73.187494,944.63,7,0.544436691,TRUE,CT_Litchfield,180333,73.70812885,North
